date,cust_email,cust_location,product_id,product_quantity
2020-01-01,skeaft@gmail.com,98762,QMPUQK3FSNH2,1
2020-01-01,muect@msn.com,35309,NKVF5FXE9QIU,5
2020-01-01,stat@aol.com,58667,5R93PT8VF4NX,3
2020-01-01,trank@hotmail.com,58390,J8ZHO8KPD9IF,2
2020-01-01,smea@hotmail.com,78476,BJ5Q8MCKM3UT,1
2020-01-01,chea@yahoo.com,43669,GTUQ73A0W28M,1
2020-01-02,duek@hotmail.com,88304,CFNE1TTHEWQE,1
2020-01-02,duek@hotmail.com,88304,AJT5L970C3TB,4
2020-01-02,glaa@outlook.com,93491,5TNQOT82GLT0,2
2020-01-02,wauf@hotmail.com,46720,JJE4LNJGUR6T,1
2020-01-02,wauf@hotmail.com,46720,1EN0S3II2U6X,1
2020-01-02,bal@gmail.com,97263,9JXQKFGHOLOD,2
2020-01-02,bal@gmail.com,97263,7I5GN8AP971L,1
2020-01-02,jia@icloud.com,43806,9ZDBH09Z2MMK,4
2020-01-02,jia@icloud.com,43806,R01Y41BJXTV0,3
2020-01-02,jia@icloud.com,43806,BK551LBBL8IY,1
2020-01-03,sloer@gmail.com,37672,0HGDH03T5H3S,3
2020-01-03,sloer@gmail.com,37672,9F4XL1QI72S3,2
2020-01-03,stryst@outlook.com,54493,G3EUFD985RPY,2
2020-01-03,stryst@outlook.com,54493,TR93FVXOSYEO,1
2020-01-03,tul@inbox.com,76905,XWFILB6VS9G0,1
2020-01-03,fley@hotmail.com,90646,0D189L6EXQB3,1
2020-01-03,wik@icloud.com,00724,PDOQVAHQAPY7,1
2020-01-03,gak@gmail.com,15101,TT0D1LLWVB11,1
2020-01-04,ze@yahoo.com,73362,Q0WXF015X69Q,1
2020-01-04,ze@yahoo.com,73362,S8KYU2FMM8CM,1
2020-01-04,jyng@yahoo.com,75365,4O9F2IK1HJ76,1
2020-01-04,weey@gmail.com,54528,68M9WKDRHX7G,1
2020-01-04,weey@gmail.com,54528,P8ZQUOLFOZKX,2
2020-01-04,truov@gmail.com,89650,HPRPTIVUDQQP,2
2020-01-04,slou@hotmail.com,42079,5PL82F81A4C2,1
2020-01-04,slou@hotmail.com,42079,5CIJG1HV9NVV,1
2020-01-05,ti@aol.com,00724,GAJ95EW7V2KQ,2
2020-01-05,do@aol.com,63420,JDE2ZSPH56UC,3
2020-01-05,slonk@gmail.com,82963,PAJB0QMRNM8P,1
2020-01-05,slonk@gmail.com,82963,SABCNG4W2SA0,2
2020-01-05,slonk@gmail.com,82963,R9O8DR1IMQ9X,1
2020-01-05,spaupt@icloud.com,65022,6460O73ULFYC,1
2020-01-05,spaupt@icloud.com,65022,IDDR7QZ5E2OZ,1
2020-01-05,gra@outlook.com,03654,QT7EH47I45X2,2
2020-01-06,fleu@aol.com,41616,1Z3F0ZW0GQ9U,2
2020-01-06,fleu@aol.com,41616,IZ9O1E3E3NWJ,1
2020-01-06,fraut@icloud.com,88894,4KGBESIMF8XA,1
2020-01-06,piuz@outlook.com,66390,MFIV9K6AYIDV,1
2020-01-06,hood@icloud.com,87517,YVMBD7YWMMKC,1
2020-01-06,ky@hotmail.com,12082,BKXABY57SJJZ,1
2020-01-07,froa@gmail.com,38848,OVBRWZX71L32,2
2020-01-07,lein@hotmail.com,66390,8HXHOI7N74PL,1
2020-01-07,lein@hotmail.com,66390,AUOXW39N9WB8,3
2020-01-07,chub@yahoo.com,89650,JAOMIRX471HM,1
2020-01-07,chub@yahoo.com,89650,BEL56GPWW8LU,3
2020-01-07,song@mail.com,87572,D39AM7R4CJYE,2
2020-01-07,strae@yahoo.com,74804,XQKVHBSTJDIB,1
2020-01-07,strae@yahoo.com,74804,66HZZJRX8RZ9,2
2020-01-07,strae@yahoo.com,74804,UG1I24D6D8BA,3
2020-01-07,speiz@outlook.com,11882,OVIHOKCUO19V,1
2020-01-07,speiz@outlook.com,11882,6RYYRF40L90C,1
2020-01-07,po@aol.com,61291,88FNPUTFDH27,2
2020-01-07,si@icloud.com,30745,JOCKP55VKZE6,3
2020-01-07,kei@yahoo.com,38570,VCIL3W7Z8RHH,1
2020-01-07,kei@yahoo.com,38570,B5GQJRWHT9FH,1
2020-01-08,spoe@gmail.com,46173,UPZAR8DTVI2N,1
2020-01-08,spoe@gmail.com,46173,M9YXS8JNOG7M,1
2020-01-08,crae@msn.com,90779,SWWIDCGA86D4,1
2020-01-08,crae@msn.com,90779,R7GN3G16T0EN,1
2020-01-08,nee@yahoo.com,61047,6LWPGDUJ20WF,2
2020-01-08,steak@yahoo.com,99310,DOBJMXEHX12L,2
2020-01-09,sweusp@gmail.com,13938,EMX0I112J9CT,2
2020-01-09,sweusp@gmail.com,13938,6CZHM0NCNE1L,2
2020-01-09,cry@yahoo.com,22650,MCNJPY9S0IAS,7
2020-01-09,cry@yahoo.com,22650,CB0UN943YZS2,1
2020-01-09,spaing@outlook.com,83059,47WPWXAJSZO6,1
2020-01-09,zi@outlook.com,31518,IMAROMPN52K3,1
2020-01-09,flei@mail.com,07423,ISDA0CW72Y2Q,2
2020-01-09,proa@mail.com,38120,6UZ04U6YYJLQ,1
2020-01-09,si@inbox.com,50426,MCNJPY9S0IAS,1
2020-01-09,loif@gmail.com,82398,I14J2XRLNH9E,1
2020-01-09,loif@gmail.com,82398,9WDPTFVF34W7,1
2020-01-10,droi@aol.com,78567,TE1C9RSQHFCI,1
2020-01-11,gry@hotmail.com,37583,STDX4QMWKO8B,1
2020-01-11,gry@hotmail.com,37583,QS2KWZ15ZCHZ,1
2020-01-11,gry@hotmail.com,37583,I14J2XRLNH9E,3
2020-01-11,froov@icloud.com,70306,V8FHQEZF7U5W,1
2020-01-11,hoi@gmail.com,87281,EAPTN0TCUPGX,2
2020-01-11,puesh@yahoo.com,56886,ZKRIE0PE195M,1
2020-01-11,vool@inbox.com,90864,14YBF9ZX7QSG,2
2020-01-12,cho@yahoo.com,46137,ZLLB8NH22QAQ,1
2020-01-12,vu@yahoo.com,23147,2840MP5A5H4O,1
2020-01-12,neeb@hotmail.com,38917,JT4JX7EALL1T,1
2020-01-12,neeb@hotmail.com,38917,JJFTHOWKQE5T,1
2020-01-12,staesp@mail.com,74087,FHMKQTNX11OM,2
2020-01-12,swau@aol.com,88894,GXYAQM9REG2G,1
2020-01-12,vuet@aol.com,87662,W8VEXFH00RMW,1
2020-01-13,trou@hotmail.com,50426,QIBMXR29IFH1,1
2020-01-13,trou@hotmail.com,50426,SUA8IJ5DFCO5,1
2020-01-13,kad@aol.com,12411,3NZ6BULM2PKF,1
2020-01-14,fy@gmail.com,56160,6D2TBUPTFNFJ,2
2020-01-14,ki@gmail.com,61291,R8O4HMCJI9A1,1
2020-01-14,ploe@outlook.com,59025,3IELD13LECID,2
2020-01-14,proeng@gmail.com,67997,O8J9ND7IJAPC,1
2020-01-14,guid@aol.com,63790,AX5ATE1YSN4K,2
2020-01-14,sloe@yahoo.com,19106,OUO15DQI571Z,2
